"Title ID","Title","CurrentAchievements","Gamerscore","Progress","Devices","Genres"
"2001700854","Call of Duty®","116","3120/4000","78","PC, XboxOne, XboxSeries","Shooter"
"2071918696","DRAGON QUEST I & II HD-2D Remake","19","270/1000","27","PC, XboxSeries","Role playing"
"1645656675","Infinos","1","50/1000","5","XboxOne, XboxSeries","Shooter"
"2089856457","Angry Video Game Nerd 8-bit","0","0/1000","0","XboxOne, XboxSeries","Action & adventure, Platformer, Shooter"
"1791601996","X-Force Genesis X|S Edition","4","200/1000","20","XboxOne, XboxSeries","Classics, Action & adventure, Racing & flying, Shooter"
"2113057830","Candivity","10","225/1000","22","PC, XboxOne, XboxSeries","Other, Family & kids"
"1972593972","Escape Sequence (Xbox One)","27","3000/3000","100","XboxOne, XboxSeries","Puzzle & trivia"
"2011673728","THE HOUSE OF THE DEAD 2: Remake","0","0/1000","0","XboxOne, XboxSeries","Shooter, Action & adventure"
"1933591811","Escape Sequence (Xbox Series)","27","3000/3000","100","XboxSeries","Puzzle & trivia"
"1780478592","Catnigma (Windows)","26","2000/2000","100","PC","Family & kids, Puzzle & trivia, Card & board, Classics"
"2054164358","Catnigma","26","2000/2000","100","XboxSeries","Family & kids, Puzzle & trivia, Card & board, Classics"
"1793953524","Catnigma (Xbox One)","26","2000/2000","100","XboxOne, XboxSeries","Family & kids, Puzzle & trivia, Card & board, Classics"
"1871641137","Grizzly Bear is Hungry - Xbox Series X/S","15","2000/2000","100","XboxSeries","Action & adventure, Family & kids, Platformer"
"1879356098","Grizzly Bear is Hungry - Windows","15","2000/2000","100","PC","Family & kids, Action & adventure, Racing & flying"
"1721745092","Grizzly Bear is Hungry - Xbox One","15","2000/2000","100","XboxOne, XboxSeries","Family & kids, Action & adventure, Racing & flying"
"1776434181","Marine Survivors (Xbox Series)","20","3000/3000","100","XboxSeries","Action & adventure"
"1700794367","Marine Survivors","20","3000/3000","100","XboxOne, XboxSeries","Action & adventure"
"1982117283","Tiny Little Farm (Xbox Series)","25","4000/4000","100","XboxSeries","Simulation, Strategy"
"1826137247","Tiny Little Farm","25","4000/4000","100","XboxOne, XboxSeries","Simulation, Strategy"
"2079467795","Burn in Health (Windows)","15","2000/2000","100","PC","Action & adventure"
"1901508105","Burn in Health (Xbox Series)","20","3000/3000","100","XboxSeries","Action & adventure"
"1675322677","Burn in Health","20","3000/3000","100","XboxOne, XboxSeries","Action & adventure"
"2044046713","Kitten Island 2 (Windows)","20","2000/2000","100","PC","Platformer, Action & adventure"
"1883121287","Kitten Island 2 (Xbox Series)","20","2000/2000","100","XboxSeries","Platformer, Action & adventure"
"1645882991","Kitten Island 2","20","2000/2000","100","XboxOne, XboxSeries","Platformer, Action & adventure"
"1642658545","Sokobear Winter (Windows)","24","1935/2000","97","PC","Classics, Card & board, Puzzle & trivia, Strategy"
"1848099521","Cookie’s Trails (Windows)","25","2000/2000","100","PC","Puzzle & trivia, Family & kids, Strategy"
